ticker,year,entry_n,trade_mode,signal_date,entry_date,entry_price,candle_high,premium_pct,exit_date,exit_price,exit_reason,pnl_pct,re_entry_date,re_entry_price,re_exit_date,re_exit_price,re_exit_reason,re_pnl_pct
EXR,2016,2,option,2016-03-07,2016-03-14,59.5651,59.3227,1.5633,2016-05-02,63.3775,8W,4.84,,,,,,
KR,2016,2,option,2016-03-07,2016-03-14,31.3481,31.552,3.6157,2016-05-02,28.1831,8W,-3.62,,,,,,
PSA,2016,2,option,2016-03-07,2016-03-14,170.1526,171.3523,1.5633,2016-05-02,176.6467,8W,2.25,,,,,,
ZTS,2016,2,option,2016-03-07,2016-03-14,38.4079,38.6662,2.1919,2016-05-02,43.7668,8W,11.76,,,,,,
AMGN,2016,3,option,2016-03-14,2016-03-21,107.9397,109.2026,1.492,2016-05-09,113.177,8W,3.36,,,,,,
ICE,2016,3,option,2016-03-14,2016-03-21,41.7615,41.7655,2.5232,2016-05-09,45.799,8W,7.14,,,,,,
LLY,2016,6,option,2016-03-21,2016-03-28,60.4146,61.1682,1.5687,2016-05-16,63.7673,8W,3.98,,,,,,
TMUS,2016,5,option,2016-03-21,2016-03-28,35.5556,36.046,1.9172,2016-05-16,40.0938,8W,10.85,,,,,,
BMY,2016,2,option,2016-03-28,2016-04-04,46.4523,46.3052,1.432,2016-05-23,50.9539,8W,8.26,,,,,,
KDP,2016,2,option,2016-03-28,2016-04-04,11.6247,11.6108,1.4409,2016-05-23,11.7099,8W,-0.71,,,,,,
KR,2016,3,option,2016-03-28,2016-04-04,31.2584,31.34,2.8706,2016-05-23,29.2164,8W,-2.87,,,,,,
VLO,2016,2,option,2016-04-04,2016-04-11,41.9707,43.0941,2.4621,2016-05-30,37.5011,8W,-2.46,,,,,,
COST,2016,2,option,2016-04-11,2016-04-18,128.7285,129.5964,2.342,2016-06-06,130.8754,8W,-0.67,,,,,,
LHX,2016,2,option,2016-04-11,2016-04-18,63.9425,64.8769,1.2904,2016-06-06,67.3997,8W,4.12,,,,,,
PNC,2016,2,option,2016-04-11,2016-04-18,60.7196,62.0881,2.158,2016-06-06,63.2799,8W,2.06,,,,,,
KDP,2016,3,option,2016-04-25,2016-05-02,11.5726,11.579,1.7269,2016-06-20,11.7813,8W,0.08,,,,,,
DAL,2016,2,option,2016-05-16,2016-05-23,38.1576,39.6307,8.3516,2016-07-11,35.4777,8W,-8.35,,,,,,
KR,2016,4,option,2016-05-16,2016-05-23,28.3492,28.6683,3.3308,2016-07-11,30.0346,8W,2.61,,,,,,
LHX,2016,3,option,2016-05-16,2016-05-23,65.1085,65.1912,1.4401,2016-07-11,70.9528,8W,7.54,,,,,,
VLO,2016,3,option,2016-05-16,2016-05-23,37.2281,38.6206,2.4364,2016-07-11,33.9584,8W,-2.44,,,,,,
COST,2016,3,option,2016-05-23,2016-05-30,126.3966,130.0388,2.256,2016-07-18,141.5232,8W,9.71,,,,,,
EXR,2016,2,option,2016-05-23,2016-05-30,64.0152,64.31,1.2431,2016-07-18,64.7635,8W,-0.07,,,,,,
GOOG,2016,3,option,2016-05-23,2016-05-30,36.2891,36.398,2.4135,2016-07-18,36.8346,8W,-0.91,,,,,,
GOOGL,2016,3,option,2016-05-23,2016-05-30,37.1311,37.089,3.1595,2016-07-18,37.6528,8W,-1.75,,,,,,
KDP,2016,4,option,2016-05-23,2016-05-30,11.7391,11.8192,1.4431,2016-07-18,12.5686,8W,5.62,,,,,,
PG,2016,2,option,2016-05-23,2016-05-30,62.5733,62.719,1.2283,2016-07-18,65.7487,8W,3.85,,,,,,
TRV,2016,2,option,2016-05-23,2016-05-30,91.9269,92.0476,2.0788,2016-07-18,94.8314,8W,1.08,,,,,,
WEC,2016,2,option,2016-05-23,2016-05-30,43.4538,43.6947,1.2431,2016-07-18,47.7233,8W,8.58,,,,,,
AEP,2016,2,option,2016-05-30,2016-06-06,46.7574,46.963,1.2762,2016-07-25,49.1474,8W,3.84,,,,,,
PANW,2016,2,option,2016-05-30,2016-06-06,23.2733,23.4717,2.9065,2016-07-25,21.815,8W,-2.91,,,,,,
PSA,2016,2,option,2016-05-30,2016-06-06,174.7683,175.4324,1.2762,2016-07-25,161.4864,8W,-1.28,,,,,,
VLO,2016,4,option,2016-05-30,2016-06-06,37.5351,38.5755,2.1591,2016-07-25,35.5496,8W,-2.16,,,,,,
XEL,2016,2,option,2016-05-30,2016-06-06,31.0107,31.1725,1.2762,2016-07-25,32.5935,8W,3.83,,,,,,
